dim,time
2000,14.960271835327148
4000,31.474366426467896
8000,61.865426778793335
10000,77.6379177570343
16000,126.0794267654419
32000,231.24266815185547
64000,488.77872920036316
100000,760.1776740550995
128000,975.061573266983
